Name,Address,Phone,Website,Icon,Thumbs,XCOORD,YCOORD
Little Toad Creek Brewery,"1122 Hwy 35, Silver City, NM 88061",(575)536-9649,http://www.littletoadcreek.com/,http://bethzilla.github.io/geog485/img/beer.png,http://bethzilla.github.io/geog485/brewmap/Little-toad-creek-120px-b.jpg,-108.197947,33.035216
Roosevelt Brewing Co.,"201 S. Main St., Portales, NM 88130",(575)226-2739,http://www.rooseveltbrewing.com/,http://bethzilla.github.io/geog485/img/beer.png,http://bethzilla.github.io/geog485/brewmap/roosevelt-brewing-120px.jpg,-103.336219,34.185938
Las Cazuelas Brewing,"4051 Sara Rd. SE, Rio Rancho, NM 87124",(505)994-9364,http://www.cazuelasmexicangrill.com/,http://bethzilla.github.io/geog485/img/beer.png,http://bethzilla.github.io/geog485/brewmap/las-cazuelas-120px.jpg,-106.655406,35.231399
Eske’s Brew Pub,"106 Des Georges Pl, Taos, NM 87571",(575)758-1517,http://www.eskesbrewpub.com/,http://bethzilla.github.io/geog485/img/beer.png,http://bethzilla.github.io/geog485/brewmap/eskes-brew-120px.jpg,-105.573161,36.406450
Duel Brewing Company,"1228 Parkway Dr. Suite D, Santa Fe, NM 87507",(505)474-5301,http://www.duelbrewing.com/,http://bethzilla.github.io/geog485/img/beer.png,http://bethzilla.github.io/geog485/brewmap/duel-brewing-120px.jpg,-105.998481,35.655143
Comanche Creek Brewing,"225 Comanche Creek Rd. Eagles Nest, NM 87718",(575)377-2337,http://www.comanchecreekbrewingco.com/,http://bethzilla.github.io/geog485/img/beer.png,http://bethzilla.github.io/geog485/brewmap/comanche-creek-brewing-120px.jpg,-105.272277,36.597884
Bosque Brewing Co.,"8900 San Mateo Blvd. NE, Albuquerque, NM 87113",(505)750-7596,http://www.bosquebrewingco.com/,http://bethzilla.github.io/geog485/img/beer.png,http://bethzilla.github.io/geog485/brewmap/Bosque-brewing-120px.jpg,-106.586395,35.186847
ABQ Brew Pub,"6601 Uptown, Albuquerque, NM 87110",(505)926-3431,http://www.abqbrewpub.com/,http://bethzilla.github.io/geog485/img/beer.png,http://bethzilla.github.io/geog485/brewmap/Abq-brew-pub-120px.jpg,-106.571313,35.103918
The Wellhead Brewery,"332 West Main St., Artesia, NM 88210",(575)746-0640,http://www.thewellhead.com/,http://bethzilla.github.io/geog485/img/beer.png,http://bethzilla.github.io/geog485/brewmap/wellhead-120px.jpg,-104.400913,32.842527
Turtle Mountain Brewing,"905 36th Place SE Suite C, Rio Rancho, NM 87124",(505)994-9497,http://www.turtlemountainbrewing.com/,http://bethzilla.github.io/geog485/img/beer.png,http://bethzilla.github.io/geog485/brewmap/turtle-mountain-120px.jpg,-106.664376,35.242165
